uri,artist_names,track_name,search_term
spotify:track:2Iv6YBslkxslMJQsxshZh5,Trio Vegabajeño,CANTARES DE NAVIDAD,trio vegabajeño cantares de navidad
spotify:track:2Z8yfpFX0ZMavHkcIeHiO1,"Shawn Mendes, Justin Bieber",Monster (Shawn Mendes & Justin Bieber),"shawn mendes, justin bieber monster (shawn mendes & justin bieber)"
spotify:track:7lUdbnz7wsv3C9zzf4WHl9,"Feid, J Balvin, Maluma, Nicky Jam, Sech, Justin Quiles","PORFA Remix ( Feat. Maluma, Nicky Jam, Sech) - Remix","feid, j balvin, maluma, nicky jam, sech, justin quiles porfa remix ( feat. maluma, nicky jam, sech) - remix"
spotify:track:0FktnzDqjClqU6iqOZVEs2,Bad Bunny,BYE ME FUI,bad bunny bye me fui
spotify:track:4y4spB9m0Q6026KfkAvy9Q,"Justin Bieber, benny blanco",Lonely (with benny blanco),"justin bieber, benny blanco lonely (with benny blanco)"
spotify:track:5zRusJsWuFeLu2sICWvVDF,"Matisse, Guaynaa",Imposible Amor,"matisse, guaynaa imposible amor"
spotify:track:4QfZYDhGZc0T2RDvGiI69E,"El Alfa, Chael Produciendo",Singapur,"el alfa, chael produciendo singapur"
spotify:track:3kml9ZdpT7UYk1ugkjqOzt,"Daddy Yankee, Anuel AA, Kendo Kaponi",Don Don,"daddy yankee, anuel aa, kendo kaponi don don"
spotify:track:47EiUVwUp4C9fGccaPuUCS,"Bad Bunny, Jhayco",DÁKITI,"bad bunny, jhayco dákiti"
spotify:track:5JqZ3oqF00jkT81foAFvqg,"Miley Cyrus, Dua Lipa",Prisoner (feat. Dua Lipa),"miley cyrus, dua lipa prisoner (feat. dua lipa)"
spotify:track:2FVpOsjT1iquZ3SpCjZ9Ne,BTS,Telepathy,bts telepathy
spotify:track:3QH8rQGNFX8VLbCgZ7uPTS,BTS,Fly To My Room,bts fly to my room
spotify:track:0n2moJpAEWHwaPYYjkzMDl,BTS,Blue & Grey,bts blue & grey
spotify:track:54DmTIv86D3sYdiawjULQ0,BTS,Dis-ease,bts dis-ease
spotify:track:3ndCsZfq8OVwwkz9mmZvUz,BTS,Stay,bts stay
spotify:track:5f5tMrP3ZZbNtiLIHKOQLS,"SAINt JHN, Imanbek",Roses - Imanbek Remix,"saint jhn, imanbek roses - imanbek remix"
spotify:track:4JUPEh2DVSXFGExu4Uxevz,"BLACKPINK, Selena Gomez",Ice Cream (with Selena Gomez),"blackpink, selena gomez ice cream (with selena gomez)"
spotify:track:4Oun2ylbjFKMPTiaSbbCih,"Cardi B, Megan Thee Stallion",WAP (feat. Megan Thee Stallion),"cardi b, megan thee stallion wap (feat. megan thee stallion)"
spotify:track:24IgCW19L8lXKyFZwzFtD3,"Black Eyed Peas, Ozuna, J. Rey Soul",MAMACITA,"black eyed peas, ozuna, j. rey soul mamacita"
spotify:track:0fehAJVm4Yk9a1jlKi1B0q,"Matisse, Guaynaa",Imposible Amor,"matisse, guaynaa imposible amor"
spotify:track:7EY91l11hOnYIytcxFgvDN,Banda MS de Sergio Lizárraga,No Elegi Conocerte,banda ms de sergio lizárraga no elegi conocerte
spotify:track:0ofHAoxe9vBkTCp2UQIavz,Fleetwood Mac,Dreams - 2004 Remaster,fleetwood mac dreams - 2004 remaster
spotify:track:6zEgnpM0qYmHLDnh8WPejL,J Balvin,Amarillo,j balvin amarillo
spotify:track:6MOjqs7ngSnZz3J5GZLAfm,Natanael Cano,Arriba,natanael cano arriba
spotify:track:0lPXFrKyl8HkdQ2E6NmNja,Reik,Ya Me Enteré,reik ya me enteré
spotify:track:0t1kP63rueHleOhQkYSXFY,BTS,Dynamite,bts dynamite
spotify:track:0IJoJOVw1hSws1kLH96e7d,Marcos Menchaca,Viernes 13,marcos menchaca viernes 13
spotify:track:4XC7YfQYxDuUa7I287yeWw,Cardenales De Nuevo León,Belleza De Cantina,cardenales de nuevo león belleza de cantina
spotify:track:0S9ZVNTNRzLMgb96tmmG1u,Rauw Alejandro,Enchule,rauw alejandro enchule
spotify:track:2Wo6QQD1KMDWeFkkjLqwx5,"SAINt JHN, Imanbek",Roses - Imanbek Remix,"saint jhn, imanbek roses - imanbek remix"
spotify:track:7LYWPZL216dyiN02mjefro,David Santos,No Eres La Oficial,david santos no eres la oficial
spotify:track:4TOmcZvw0gHa7GiXRbcYAW,"Feid, Justin Quiles",PORFA,"feid, justin quiles porfa"
spotify:track:4Pu0a2TuHOYtI4CCE3HEXI,"Arcangel, Sech, Romeo Santos",Sigues Con El - Remix,"arcangel, sech, romeo santos sigues con el - remix"
spotify:track:0oCSitNlzsQfuIapF9tXRQ,Grupo Arranke,A Través del Vaso,grupo arranke a través del vaso
spotify:track:4ZRrLHqzhGRXYj2qcB4s5S,"Rauw Alejandro, Camilo",Tattoo - Remix with Camilo,"rauw alejandro, camilo tattoo - remix with camilo"
spotify:track:4BP9GQIzB3eTcHGusULGcS,Carin Leon,Tu - Live,carin leon tu - live
spotify:track:4dKY6JFNvj2yWzENIL1P6s,"Lenin Ramírez, Grupo Firme",Yo Ya No Vuelvo Contigo - En Vivo,"lenin ramírez, grupo firme yo ya no vuelvo contigo - en vivo"
spotify:track:1wqIfs9YI7fqwROcLb3kEs,Carin Leon,Me La Avente,carin leon me la avente
spotify:track:7r9ZhitdQBONTFOiJW5mr8,"Rauw Alejandro, Anuel AA",Reloj,"rauw alejandro, anuel aa reloj"
spotify:track:3ThrfRAmijYU098H9q9tAs,Rauw Alejandro,Enchule,rauw alejandro enchule
spotify:track:59nnGpAU3AiL2tD0o2It11,"KHEA, Natti Natasha, Prince Royce, Lenny Santos",Ayer Me Llamó Mi Ex – Remix,"khea, natti natasha, prince royce, lenny santos ayer me llamó mi ex – remix"
spotify:track:56f5qnyAlZdlz8wrUDA50h,"Mau y Ricky, Manuel Turizo, Camilo",Desconocidos,"mau y ricky, manuel turizo, camilo desconocidos"
spotify:track:2xxq5LXFBFyawPChsOOWVu,La Adictiva,El Amor de Mi Vida,la adictiva el amor de mi vida
spotify:track:5XqCz18k96K8tx6DAYM97i,"Bad Bunny, Don Omar",PA' ROMPERLA,"bad bunny, don omar pa' romperla"
